"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Tue Apr 26 02:31:54 +0000 2016",724788061331152900,"I'm becoming addicted to one tree hill",2235463010,"Jnork","jessnorkus","New York",245,634,"Sun Dec 08 04:14:45 +0000 2013","null","C0DEED","http://pbs.twimg.com/profile_images/721532087589867520/g9B6mhr__normal.jpg","null","null","{""id"":""94965b2c45386f87"",""url"":""https://api.twitter.com/1.1/geo/id/94965b2c45386f87.json"",""place_type"":""admin"",""name"":""New York"",""full_name"":""New York, USA"",""country_code"":""US"",""country"":""United States"",""bounding_box"":{""type"":""Polygon"",""coordinates"":[[[-79.76259,40.477383],[-79.76259,45.015851],[-71.777492,45.015851],[-71.777492,40.477383]]]},""attributes"":{}}"
"Tue Apr 26 02:31:54 +0000 2016",724788061868052500,"Sandow is saved!! #Raw",130963677,"Beardman 1991","LegendoLegends","Dimension X",849,1941,"Thu Apr 08 21:43:16 +0000 2010","Eastern Time (US & Canada)","022330","http://pbs.twimg.com/profile_images/517793104884019200/_4nXrOcP_normal.jpeg","null","null","{""id"":""94965b2c45386f87"",""url"":""https://api.twitter.com/1.1/geo/id/94965b2c45386f87.json"",""place_type"":""admin"",""name"":""New York"",""full_name"":""New York, USA"",""country_code"":""US"",""country"":""United States"",""bounding_box"":{""type"":""Polygon"",""coordinates"":[[[-79.76259,40.477383],[-79.76259,45.015851],[-71.777492,45.015851],[-71.777492,40.477383]]]},""attributes"":{}}"
"Tue Apr 26 02:31:55 +0000 2016",724788064799825900,"Hey Rach",561311013,"Melanie Psota","mpsota415","null",268,246,"Mon Apr 23 15:31:16 +0000 2012","Atlantic Time (Canada)","DBE9ED","http://pbs.twimg.com/profile_images/616406876612333568/VpV1kHhe_normal.jpg","null","null","{""id"":""51cc4a7155935af2"",""url"":""https://api.twitter.com/1.1/geo/id/51cc4a7155935af2.json"",""place_type"":""city"",""name"":""Troy"",""full_name"":""Troy, NY"",""country_code"":""US"",""country"":""United States"",""bounding_box"":{""type"":""Polygon"",""coordinates"":[[[-73.724998,42.660879],[-73.724998,42.795001],[-73.649201,42.795001],[-73.649201,42.660879]]]},""attributes"":{}}"
"Tue Apr 26 02:31:56 +0000 2016",724788068771893200,"Thank you @TheMakeupShow @JVincentmakeup @TEMPTUPRO @TEMPTU so excited to be picked 😘💜💋 https://t.co/EZHtGxNv2a",32218670,"Jennifer McCarthy","TrueGraceMakeUp","New York",358,1116,"Fri Apr 17 00:19:03 +0000 2009","Atlantic Time (Canada)","C0DEED","http://pbs.twimg.com/profile_images/462303302190112769/HCNtfw9d_normal.jpeg","null","null","{""id"":""94965b2c45386f87"",""url"":""https://api.twitter.com/1.1/geo/id/94965b2c45386f87.json"",""place_type"":""admin"",""name"":""New York"",""full_name"":""New York, USA"",""country_code"":""US"",""country"":""United States"",""bounding_box"":{""type"":""Polygon"",""coordinates"":[[[-79.76259,40.477383],[-79.76259,45.015851],[-71.777492,45.015851],[-71.777492,40.477383]]]},""attributes"":{}}"
"Tue Apr 26 02:31:59 +0000 2016",724788081652584400,"@BabyAnimalPics @SophiaFrontale",1069804824,"Ant","AnthonyMandell1","null",505,431,"Tue Jan 08 02:54:10 +0000 2013","Eastern Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/724725800893833216/vWyD8G3U_normal.jpg","null","null","{""id"":""94965b2c45386f87"",""url"":""https://api.twitter.com/1.1/geo/id/94965b2c45386f87.json"",""place_type"":""admin"",""name"":""New York"",""full_name"":""New York, USA"",""country_code"":""US"",""country"":""United States"",""bounding_box"":{""type"":""Polygon"",""coordinates"":[[[-79.76259,40.477383],[-79.76259,45.015851],[-71.777492,45.015851],[-71.777492,40.477383]]]},""attributes"":{}}"
