"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Thu Apr 07 02:52:49 +0000 2016",717907955912302600,"RT @FrankLuntz: States where Team Cruz has accused Donald Trump of fraud:\n\n• 💬",345650937,"Richard Reese","RichardReese3","Midwest",2035,2125,"Sat Jul 30 23:30:33 +0000 2011","null","C0DEED","http://pbs.twimg.com/profile_images/501927173356138496/FZKJ0c5A_normal.jpeg","null","null","null"
"Thu Apr 07 02:52:49 +0000 2016",717907956822442000,"RT @SOMEXlCAN: ""Mexicans didn't steal anything nor raped anyone.""\n\nWorker hangs Mexican flag atop Vancouver’s Trump tower. 💪🏽 https://t.co/…",2189819858,"sonia","aye_sonia27","null",369,354,"Tue Nov 12 07:22:11 +0000 2013","null","C0DEED","http://pbs.twimg.com/profile_images/712415749235613696/D8bLEbGX_normal.jpg","null","null","null"
"Thu Apr 07 02:52:49 +0000 2016",717907956805664800,"GOP Establishment Still Eyeing Way to Steal Nomination from Trump or Cruz - The Rush Limbaugh Show https://t.co/EsWOirh5vi",2159779477,"Jeff Cohen","jefflcohen","null",4029,4005,"Sun Oct 27 22:55:54 +0000 2013","Central Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/429699551440547840/ao3g95yv_normal.jpeg","null","null","null"
"Thu Apr 07 02:52:49 +0000 2016",717907957107843100,"Fucking pieces of shit https://t.co/VAmBMmcMgF",1901137496,"Matt","M_Velocci","NY",587,919,"Tue Sep 24 17:01:57 +0000 2013","null","C0DEED","http://pbs.twimg.com/profile_images/666768467778011136/u8eAMzHX_normal.jpg","null","null","null"
