"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Mon Apr 18 12:15:28 +0000 2016",722035817753890800,"RT @RUCKlN: But 5 years ago he wanted to take over the world when he's on his Donald Trump shit 🤔 https://t.co/elhknwjlf4",428616724,"Sept 9♍️","Almighttee","null",543,499,"Mon Dec 05 00:05:36 +0000 2011","Eastern Time (US & Canada)","068F0A","http://pbs.twimg.com/profile_images/720596776734986240/FN2eqDkT_normal.jpg","null","null","null"
"Mon Apr 18 12:15:28 +0000 2016",722035819180109800,"RT @SofiaVergara: Stupid fake journal.never again use my name to invent stupid fake news. https://t.co/u39nNMcgai",1386004753,"cidoralo","ericuntiee","null",54,129,"Sun Apr 28 03:15:35 +0000 2013","Pacific Time (US & Canada)","000000","http://pbs.twimg.com/profile_images/699449490047111168/bLaxOrwt_normal.jpg","null","null","null"
"Mon Apr 18 12:15:28 +0000 2016",722035820224335900,"RT @snydersas: NK official calls out Trump for inflammatory rhetoric: gotta protect your brand from upstarts @CNNPolitics https://t.co/mUKB…",494455566,"Nick Bisley","NickBisley","La Trobe University, Australia",1943,792,"Thu Feb 16 22:41:42 +0000 2012","Pacific Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/561622760737083392/gcbXRktu_normal.jpeg","null","null","null"
"Mon Apr 18 12:15:29 +0000 2016",722035821851840500,"Donald Trump: Thank you, Pennsylvania! A great way to start this Monday morning! Have a great day- I will be back... https://t.co/rsGEYME5hs",288837868,"Youth for Palin","YouthforPalin","National Group",1165,998,"Wed Apr 27 15:07:56 +0000 2011","Eastern Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/453026070329978880/TL34_qWk_normal.jpeg","null","null","null"
"Mon Apr 18 12:15:29 +0000 2016",722035821809770500,"RT @TraceyTheisen: Attn #California #Trump supporters, it's time 4 action. Signup 2 help, even hour makes difference + meet great ppl.  htt…",1375084074,"TRUMP *** TRUMP","38_milo","New England ",2368,1990,"Tue Apr 23 17:41:02 +0000 2013","Eastern Time (US & Canada)","000000","http://pbs.twimg.com/profile_images/717681092317351936/FZaS7M5C_normal.jpg","null","null","null"
